t,src,I,Tr
1980.0,10000.0,1.0,0.0
1980.04,10134.222110520792,1.0230079355056998,0.0
1980.08,10270.245717316318,1.0521567487084824,0.0
1980.12,10408.094997886084,1.0821361061149233,0.0
1980.1599999999999,10547.794454158644,1.112969672622438,0.0
1980.1999999999998,10689.368916845917,1.1446817874181034,0.0
1980.2399999999998,10832.843549853571,1.1772974831913565,0.0
1980.2799999999997,10978.243854750519,1.2108425058941248,0.0
1980.3199999999997,11125.595675298335,1.2453433350639884,0.0
1980.3599999999997,11274.925202041373,1.280827204726413,0.0
1980.3999999999996,11426.258976958427,1.317322124892557,0.0
1980.4399999999996,11579.623898176722,1.3548569036696194,0.0
1980.4799999999996,11735.047224749109,1.393461170001184,0.0
1980.5199999999995,11892.556581495273,1.4331653970555098,0.0
1980.5599999999995,12052.179963907834,1.4740009262802292,0.0
1980.5999999999995,12213.945743124204,1.5159999921424425,0.0
1980.6399999999994,12377.882670965077,1.559195747573739,0.0
1980.6799999999994,12544.019885040441,1.6036222901402277,0.0
1980.7199999999993,12712.386913924025,1.6493146889582382,0.0
1980.7599999999993,12883.013682397086,1.6963090123769358,0.0
1980.7999999999993,13055.930516762475,1.7446423564497064,0.0
1980.8399999999992,13231.168150229903,1.7943528742167816,0.0
1980.8799999999992,13408.757728373388,1.8454798058222202,0.0
1980.9199999999992,13588.730814661818,1.8980635094890228,0.0
1980.9599999999991,13771.11939606363,1.9521454933768254,0.0
1980.999999999999,13955.955888726587,2.007768448347323,0.0
1981.039999999999,14143.273143733653,2.064976281663285,0.0
1981.079999999999,14333.104452936004,2.1238141516477684,0.0
1981.119999999999,14525.483554864173,2.184328503330881,0.0
1981.159999999999,14720.444640718406,2.246567105112236,0.0
1981.199999999999,14918.022360439267,2.310579086468042,0.0
1981.2399999999989,15118.251828859577,2.376414976732588,0.0
1981.2799999999988,15321.16863193877,2.444126744984739,0.0
1981.3199999999988,15526.808833080762,2.5137678410709268,0.0
1981.3599999999988,15735.208979536463,2.585393237797021,0.0
1981.3999999999987,15946.406108892044,2.6590594743223805,0.0
1981.4399999999987,16160.43775564413,2.7348247007903432,0.0
1981.4799999999987,16377.341957863056,2.8127487242303837,0.0
1981.5199999999986,16597.157263945377,2.8928930557681714,0.0
1981.5599999999986,16819.922739456826,2.975320959180797,0.0
1981.5999999999985,17045.67797406692,3.0600975008354943,0.0
1981.6399999999985,17274.463088576435,3.1472896010512783,0.0
1981.6799999999985,17506.31874203902,3.2369660869240438,0.0
1981.7199999999984,17741.286138978165,3.3291977466568192,0.0
1981.7599999999984,17979.40703670082,3.4240573854380703,0.0
1981.7999999999984,18220.723752708975,3.521619882912154,0.0
1981.8399999999983,18465.279172210452,3.6219622522872927,0.0
1981.8799999999983,18713.116755730305,3.725163701127729,0.0
1981.9199999999983,18964.280546824117,3.8313056938780417,0.0
1981.9599999999982,19218.815179894573,3.9404720161689855,0.0
1981.9999999999982,19476.76588811271,4.052748840955612,0.0
1982.0399999999981,19738.178511445192,4.168224796539879,0.0
1982.079999999998,20003.099504789076,4.286991036531446,0.0
1982.119999999998,20271.57594621547,4.4091413118018785,0.0
1982.159999999998,20543.65554532356,4.5347720444890625,0.0
1982.199999999998,20819.38665170645,4.663982404110242,0.0
1982.239999999998,21098.818263530342,4.796874385843767,0.0
1982.279999999998,21382.000036228554,4.933552891041337,0.0
1982.319999999998,21668.98229131188,5.07412581003431,0.0
1982.3599999999979,21959.8160252969,5.218704107299419,0.0
1982.3999999999978,22254.55291875376,5.367401909051141,0.0
1982.4399999999978,22553.24534547506,5.520336593329862,0.0
1982.4799999999977,22855.946381767426,5.677628882656938,0.0
1982.5199999999977,23162.709815867427,5.839402939329803,0.0
1982.5599999999977,23473.5901574835,6.005786463432345,0.0
1982.5999999999976,23788.64264746554,6.176910793637909,0.0
1982.6399999999976,24107.92326760387,6.352911010884513,0.0
1982.6799999999976,24431.488750559318,6.5339260450041,0.0
1982.7199999999975,24759.39658992615,6.72009878439001,0.0
1982.7599999999975,25091.705050429617,6.911576188789224,0.0
1982.7999999999975,25428.47317825993,7.108509405308437,0.0
1982.8399999999974,25769.760811544467,7.3110538877255085,0.0
1982.8799999999974,26115.62859096005,7.519369519200491,0.0
1982.9199999999973,26466.137970487165,7.733620738483091,0.0
1982.9599999999973,26821.351228308034,7.95397666971619,0.0
1982.9999999999973,27181.331477850425,8.180611255937889,0.0
1983.0399999999972,27546.142678979137,8.413703396387453,0.0
1983.0799999999972,27915.849649337182,8.653437087723564,0.0
1983.1199999999972,28290.518075838583,8.900001569266317,0.0
1983.1599999999971,28670.214526314863,9.15359147237765,0.0
1983.199999999997,29055.00646131724,9.4144069740981,0.0
1983.239999999997,29444.962246076615,9.682653955161161,0.0
1983.279999999997,29840.15116262345,9.958544162510002,0.0
1983.319999999997,30240.643422069665,10.24229537644479,0.0
1983.359999999997,30646.510177054697,10.534131582532606,0.0
1983.399999999997,31057.82353435792,10.83428314841561,0.0
1983.4399999999969,31474.65656767966,11.142987005657059,0.0
1983.4799999999968,31897.08333059296,11.460486836768702,0.0
1983.5199999999968,32325.178869668503,11.787033267567192,0.0
1983.5599999999968,32759.019237774875,12.122884065011359,0.0
1983.5999999999967,33198.68150755654,12.4683043406765,0.0
1983.6399999999967,33644.243785091916,12.823566760026322,0.0
1983.6799999999967,34095.78522373393,13.188951757647718,0.0
1983.7199999999966,34553.38603813543,13.564747758618271,0.0
1983.7599999999966,35017.127518462,13.951251406181251,0.0
1983.7999999999965,35487.092044794575,14.348767795907799,0.0
1983.8399999999965,35963.36310172445,14.757610716531152,0.0
1983.8799999999965,36446.0252931432,15.178102897643027,0.0
1983.9199999999964,36935.164357230096,15.610576264447662,0.0
1983.9599999999964,37430.867181639696,16.055372199774638,0.0
1983.9999999999964,37933.22181889214,16.512841813557287,0.0
1984.0399999999963,38442.317501969,16.98334621998943,0.0
1984.0799999999963,38958.244660117314,17.467256822579174,0.0
1984.1199999999963,39481.09493486455,17.964955607324868,0.0
1984.1599999999962,40010.96119624741,18.476835444244546,0.0
1984.1999999999962,40547.937559257145,19.00330039749694,0.0
1984.2399999999961,41092.11940050442,19.54476604433885,0.0
1984.279999999996,41643.60337510653,20.10165980317064,0.0
1984.319999999996,42202.487433799935,20.674421270928814,0.0
1984.359999999996,42768.87084028112,21.26350257009199,0.0
1984.399999999996,43342.85418877883,21.869368705574225,0.0
